      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2021 JAN 17   15 11 26.2 38.3720 22.0738    9         1.9
 2021 JAN 17   15 49 44.4 38.3652 22.0724   11         2.0
 2021 JAN 17   16 05 16.9 37.3929 20.4465    7         3.5
 2021 JAN 17   16 37 16.6 38.3958 20.7555   26         1.6
 2021 JAN 17   16 38 16.2 38.2494 22.3183   15         1.4
 2021 JAN 17   17 12 16.5 38.3798 22.0779   10         1.3
 2021 JAN 17   17 14 30.6 38.4077 21.9658    9         1.8
 2021 JAN 17   18 07 13.7 36.6019 22.9037   14         2.2
 2021 JAN 17   18 13 32.4 38.4004 22.0171   10         0.9
 2021 JAN 17   18 55 05.5 38.3849 21.9923    7         0.9
 2021 JAN 17   19 08 14.5 38.3963 22.0340    7         1.4
 2021 JAN 17   19 12 11.5 38.3693 22.0866    8         0.7
 2021 JAN 17   19 14 02.5 37.8145 23.3464   12         1.4
 2021 JAN 17   19 41 45.4 38.4087 21.9713    7         2.2
 2021 JAN 17   19 42 57.7 38.4087 21.9704    6         1.2
 2021 JAN 17   19 46 21.6 38.4059 21.9859    7         1.0
 2021 JAN 17   19 50 26.9 38.4160 21.9823    8         1.8
 2021 JAN 17   19 54 47.8 38.3574 22.0903   10         1.6
 2021 JAN 17   20 35 36.2 38.3890 22.0340   11         1.1
 2021 JAN 17   21 08 58.9 37.3531 22.0610    6         2.6
 2021 JAN 17   21 25 48.5 38.3757 22.0381    9         1.0
 2021 JAN 17   21 29 36.6 38.3015 23.7950   10         1.3
 2021 JAN 17   21 35 45.9 38.3034 23.7895   12         1.4
 2021 JAN 17   22 10 34.0 38.3784 22.0061    9         1.8
 2021 JAN 17   22 22 46.5 38.3876 22.0573   11         0.9
 2021 JAN 17   22 27 39.5 38.3853 22.0486   11         1.1
 2021 JAN 17   22 40 38.4 38.3784 21.9859    7         2.0
 2021 JAN 17   22 45 46.5 37.8346 21.4558   25         1.5
 2021 JAN 17   22 50 11.3 38.3757 22.0811   10         1.7
 2021 JAN 17   22 53 17.2 38.3794 21.9978    8         1.6
 2021 JAN 17   23 18 44.6 38.3647 22.0995    7         1.8
 2021 JAN 17   23 51 52.2 37.6300 19.8102    6         2.4
 2021 JAN 18   00 03 11.5 36.4462 22.9257   14         2.4
 2021 JAN 18   00 19 16.5 36.6861 26.4322   15         2.9
 2021 JAN 18   00 48 15.1 38.3849 22.0335    7         1.3
 2021 JAN 18   00 51 00.0 37.7399 19.9091    6         2.3
 2021 JAN 18   01 13 10.6 36.5167 26.7169  124         3.0
 2021 JAN 18   01 16 25.8 36.6330 21.6843    6         2.5
 2021 JAN 18   02 13 10.5 38.3574 22.1040   13         1.9
 2021 JAN 18   02 29 55.9 37.5385 19.7406    6         2.5
 2021 JAN 18   03 13 03.9 38.3372 22.2670   10         1.4
 2021 JAN 18   04 23 14.6 35.6497 26.3223   26         4.3
 2021 JAN 18   05 01 23.1 35.6607 26.3333   16         2.6
 2021 JAN 18   05 26 30.4 35.6552 26.3406   18         3.0
 2021 JAN 18   05 36 22.8 34.8074 24.1855   27         2.4
 2021 JAN 18   05 51 26.1 35.6635 26.3544   18         2.0
 2021 JAN 18   06 23 18.6 38.3638 22.0930   13         2.3
 2021 JAN 18   06 49 25.8 38.3803 22.0573   10         2.0
 2021 JAN 18   07 08 01.3 38.1175 23.6641   14         1.6
 2021 JAN 18   07 11 19.0 38.3885 22.0280   11         2.7
 2021 JAN 18   07 19 41.6 38.3981 22.0010   11         1.6
 2021 JAN 18   07 27 47.3 38.3968 21.9795    6         1.3
 2021 JAN 18   07 55 56.5 38.3665 22.0885    8         2.2
 2021 JAN 18   08 10 25.3 38.3748 22.0482    9         1.5
 2021 JAN 18   09 15 23.0 35.6625 23.1931   18         2.5
 2021 JAN 18   09 24 06.2 38.3821 21.9795    8         1.9
 2021 JAN 18   09 38 14.4 38.3876 22.0152   10         2.1
 2021 JAN 18   09 42 02.5 35.6744 26.3544   18         2.5
 2021 JAN 18   09 46 03.7 38.3675 22.0903    9         1.3
 2021 JAN 18   10 39 37.9 35.6259 26.3516   26         3.5
 2021 JAN 18   10 40 47.1 38.3775 22.0747    9         2.2
 2021 JAN 18   10 55 04.9 37.8067 26.4413    6         2.9
 2021 JAN 18   11 28 54.1 37.7834 26.4491    6         2.9
 2021 JAN 18   11 47 01.5 38.3780 21.9919   10         1.6
 2021 JAN 18   12 23 07.8 35.6708 26.3287   14         3.1
 2021 JAN 18   12 44 15.4 38.3853 22.0743   10         1.8
 2021 JAN 18   13 27 51.2 37.2748 20.7916   18         2.7
 2021 JAN 18   13 36 30.6 37.8928 26.7087   19         1.1
 2021 JAN 18   13 46 46.9 38.3940 21.9768    6         1.0
 2021 JAN 18   13 53 01.6 38.4000 21.9754    6         1.7
 2021 JAN 18   13 53 25.1 38.3931 21.9868    6         1.4
 2021 JAN 18   13 55 11.4 38.2553 20.8182   23         1.7
 2021 JAN 18   13 56 27.2 38.4041 21.9905    6         0.7
 2021 JAN 18   14 25 21.1 38.3780 22.0871   12         1.6
 2021 JAN 18   14 43 25.3 38.3922 22.0747   12         1.5
 2021 JAN 18   14 44 18.8 38.3647 22.1095   14         1.1
 2021 JAN 18   14 45 31.3 38.4114 21.9987   11         1.3
 2021 JAN 18   15 09 12.0 38.3908 21.7282   10         2.2
 2021 JAN 18   15 25 48.7 38.3661 22.0697   14         1.3
 2021 JAN 18   15 26 44.7 38.3812 22.0399    8         1.0
 2021 JAN 18   15 35 43.1 34.6573 23.7534   12         2.5
 2021 JAN 18   15 43 26.2 38.3730 22.0308    7         3.0
 2021 JAN 18   16 25 03.9 38.3812 22.0656    8         1.2
 2021 JAN 18   16 37 07.2 37.8781 21.3657   29         1.7
 2021 JAN 18   16 39 53.1 37.8012 22.0230   29         1.6
 2021 JAN 18   16 44 56.5 38.7849 20.9660   16         1.7
 2021 JAN 18   17 02 57.0 38.3665 22.0830    9         2.1
 2021 JAN 18   17 04 40.9 38.3894 21.9777    7         1.3
 2021 JAN 18   17 10 09.0 38.3611 22.0766   10         1.7
 2021 JAN 18   17 35 32.5 38.3876 22.0573   11         1.4
 2021 JAN 18   17 37 03.7 35.5206 23.0951   38         2.5
 2021 JAN 18   17 50 15.8 35.7330 26.3214   14         2.4
 2021 JAN 18   17 59 33.4 38.3725 22.0779    8         0.5
 2021 JAN 18   18 00 02.2 38.3620 22.0976   10         1.4
 2021 JAN 18   18 06 01.8 38.4045 21.9836    7         1.5
 2021 JAN 18   18 22 45.2 35.6735 26.3443   26         2.4
 2021 JAN 18   19 03 43.5 38.3670 22.0596   10         0.9
 2021 JAN 18   19 34 12.7 38.4041 21.9997   11         1.2
 2021 JAN 18   19 47 04.5 37.5293 20.7715   18         2.2
 2021 JAN 18   19 48 21.5 38.3794 22.0985    8         3.0
 2021 JAN 18   20 10 05.9 38.3675 22.1187   11         1.5
 2021 JAN 18   20 21 30.8 36.2457 21.9672   29         3.5
 2021 JAN 18   20 54 20.1 35.6589 26.3351   17         2.6
 2021 JAN 18   21 12 08.9 39.5938 20.5197   21         1.7
 2021 JAN 18   21 16 53.7 35.5865 27.0319   19         3.5
 2021 JAN 18   21 17 13.4 38.4023 22.0042   11         2.1
 2021 JAN 18   21 40 42.5 38.3583 22.1049   10         2.1
 2021 JAN 18   21 54 49.1 38.3757 22.0821    8         1.2
 2021 JAN 18   22 09 08.0 38.4013 22.0226    7         0.5
 2021 JAN 18   22 09 19.9 38.3986 22.0628   12         1.3
 2021 JAN 18   22 23 09.4 38.2022 25.8371    9         2.3
 2021 JAN 18   22 55 57.3 39.0651 21.3194   32         2.2
 2021 JAN 18   23 10 07.1 38.3743 22.0853   10         1.4
 2021 JAN 18   23 44 07.2 38.3931 22.0509    8         1.2
 2021 JAN 19   00 38 58.2 38.4306 22.0042    7         1.2
 2021 JAN 19   00 41 11.1 37.1228 29.1248   30         4.0
 2021 JAN 19   00 46 06.4 38.4004 22.0335   11         1.7
 2021 JAN 19   01 31 24.4 38.0672 21.3194   10         1.0
 2021 JAN 19   02 05 05.5 36.7694 26.3617  148         3.3
 2021 JAN 19   02 10 56.6 37.4844 21.6275   26         1.4
 2021 JAN 19   02 11 57.0 38.3730 22.1040   10         1.1
 2021 JAN 19   02 21 38.0 38.4004 22.0445   15         1.2
 2021 JAN 19   03 03 10.8 38.3583 22.1159   10         1.3
 2021 JAN 19   03 45 36.9 38.3986 22.0097   11         1.1
 2021 JAN 19   04 39 19.5 38.3711 22.1269   13         1.2
 2021 JAN 19   04 49 32.3 38.7872 20.9052   15         1.7
 2021 JAN 19   06 17 26.3 37.3737 20.4913    6         2.7
 2021 JAN 19   07 37 06.7 38.3743 22.0505    8         1.8
 2021 JAN 19   08 29 30.4 38.1743 22.5526   15         2.7
 2021 JAN 19   09 22 46.1 35.6818 26.3287    8         2.5
 2021 JAN 19   09 25 15.5 38.3904 22.0491    8         1.6
 2021 JAN 19   09 27 33.0 38.1084 23.4700    6         1.4
 2021 JAN 19   09 37 57.7 38.4251 21.9841   10         2.2
 2021 JAN 19   10 11 45.7 38.4114 21.9731    7         1.7
 2021 JAN 19   10 49 00.1 38.3354 21.7863   10         1.6
 2021 JAN 19   10 49 11.5 38.3702 22.0775    7         1.6
 2021 JAN 19   11 33 51.6 37.1732 20.3842    8         3.9
 2021 JAN 19   12 11 09.4 38.3958 21.9896    6         1.7
 2021 JAN 19   12 24 16.2 37.8978 26.3228   11         3.0
 2021 JAN 19   13 23 49.4 38.4068 21.9649   11         2.5
 2021 JAN 19   13 32 14.9 38.4004 22.0006    8         0.9
 2021 JAN 19   13 33 09.4 38.3675 21.9933    6         1.7
 2021 JAN 19   14 40 27.2 37.8406 26.3123   34         1.9
 2021 JAN 19   14 56 39.7 38.2352 25.8664   22         2.3
 2021 JAN 19   15 13 59.8 38.3871 22.0193    6         1.3
 2021 JAN 19   15 28 25.3 38.6160 24.0280   12         1.9
 2021 JAN 19   16 07 01.1 38.6064 23.5597   15         2.0
 2021 JAN 19   16 22 18.5 38.1807 22.5517   15         2.3
 2021 JAN 19   16 24 05.2 38.3794 22.0070    7         1.6
 2021 JAN 19   17 43 24.8 38.3949 22.0427   11         1.1
 2021 JAN 19   17 44 10.1 38.3762 22.0065    9         1.2
 2021 JAN 19   18 27 46.8 37.8667 21.9859   14         2.0
 2021 JAN 19   19 03 35.5 38.3775 22.0537    9         1.6
 2021 JAN 19   19 07 57.4 38.3798 22.0065    9         1.3
 2021 JAN 19   19 32 00.2 37.8085 26.9962   13         3.0
 2021 JAN 19   19 49 15.0 39.0399 21.6010   14         1.1
 2021 JAN 19   20 00 30.8 38.3720 22.1013   11         1.3
 2021 JAN 19   20 20 41.7 38.3821 21.9768    9         2.3
 2021 JAN 19   20 20 49.9 34.4980 23.6783   20         3.0
 2021 JAN 19   20 32 56.2 38.1812 22.5513   15         1.4
 2021 JAN 19   20 50 09.5 38.3720 22.0848   11         1.1
 2021 JAN 19   21 45 43.0 38.3757 22.0381   13         1.7
 2021 JAN 19   21 51 47.4 38.3871 22.1017   12         1.3
 2021 JAN 19   21 59 08.8 38.4077 21.9914   10         1.2
 2021 JAN 19   22 09 21.4 35.6351 26.3553   26         3.5
 2021 JAN 19   22 18 05.7 34.8074 25.0974   31         2.7
 2021 JAN 19   22 36 07.7 38.3784 22.0518   11         1.3
 2021 JAN 19   22 53 19.4 37.8877 20.9111   25         2.4
 2021 JAN 19   23 29 19.2 40.2127 22.3013   16         1.6
 2021 JAN 19   23 52 47.1 38.3665 22.0967   12         1.6
 2021 JAN 20   00 06 48.4 38.3757 22.1031   12         1.2
 2021 JAN 20   00 08 02.1 38.3913 22.0189   13         1.7
 2021 JAN 20   01 16 20.4 37.5870 20.6369   22         2.3
 2021 JAN 20   01 20 33.3 37.5137 20.6076   16         2.1
 2021 JAN 20   01 22 05.4 37.4973 20.5527   17         1.8
 2021 JAN 20   01 37 40.0 38.3688 21.9717    9         1.5
 2021 JAN 20   01 53 49.5 38.3739 22.0949    9         1.2
 2021 JAN 20   02 29 34.0 38.4004 21.9951    6         1.9
 2021 JAN 20   02 39 08.9 40.9991 20.4401    6         4.1
 2021 JAN 20   03 07 01.4 38.3904 22.0509   10         1.3
 2021 JAN 20   03 11 57.1 34.4724 23.6362   18         2.8
 2021 JAN 20   03 26 53.0 38.2571 25.4819    7         2.1
 2021 JAN 20   04 12 28.1 38.3922 22.0793    7         1.2
 2021 JAN 20   04 13 04.1 38.3798 21.9772   17         1.1
 2021 JAN 20   04 26 53.6 38.3226 23.6778   12         1.5
 2021 JAN 20   04 50 08.1 38.4435 21.6005   19         1.8
 2021 JAN 20   05 13 42.0 38.3730 22.1031   10         1.0
 2021 JAN 20   05 57 21.7 38.3702 22.0830    8         3.2
 2021 JAN 20   06 24 07.6 38.4032 22.0354   14         1.7
 2021 JAN 20   06 26 43.2 35.4886 26.6556    6         2.9
 2021 JAN 20   06 44 34.2 38.3830 22.1077   11         1.5
 2021 JAN 20   07 12 53.5 38.3885 22.0345   13         1.6
 2021 JAN 20   07 20 19.4 38.4000 22.0102    7         1.5
 2021 JAN 20   07 20 39.8 38.4000 22.0212    8         1.5
 2021 JAN 20   07 22 20.4 38.3372 23.6769   10         2.7
 2021 JAN 20   07 36 04.3 38.3817 22.0999   11         1.7
 2021 JAN 20   07 37 00.2 38.3876 22.0390    8         2.3
 2021 JAN 20   07 41 29.0 35.1132 26.6959    2         3.6
 2021 JAN 20   08 00 46.7 39.3892 20.6969   16         2.7
 2021 JAN 20   08 40 20.7 38.1738 23.5840   10         1.2
 2021 JAN 20   08 41 54.5 38.3821 22.0381   12         2.2
 2021 JAN 20   09 25 39.1 38.3693 22.1086    8         1.6
 2021 JAN 20   10 08 43.5 38.4105 22.0940    6         1.5
 2021 JAN 20   10 38 00.4 37.9070 26.7796   19         3.3
 2021 JAN 20   10 41 39.8 38.0809 22.8218   11         2.9
 2021 JAN 20   11 15 41.3 36.0617 25.0772   14         2.1
 2021 JAN 20   11 15 47.2 38.3217 22.1599   10         0.9
 2021 JAN 20   12 11 41.4 38.3835 22.0908    6         1.2
 2021 JAN 20   12 18 54.7 38.3885 22.0409    8         1.8
 2021 JAN 20   12 34 42.1 37.8506 26.3113   11         2.5
 2021 JAN 20   13 26 04.0 37.3993 20.2936   12         2.7
 2021 JAN 20   14 11 57.6 37.5485 21.3474   32         1.9
 2021 JAN 20   14 59 18.0 38.4023 21.9814    6         1.1
 2021 JAN 20   15 27 19.4 38.1070 20.4556   17         2.2
 2021 JAN 20   16 06 01.7 36.5240 21.3776   11         3.5
 2021 JAN 20   16 25 34.8 38.3904 22.0866   10         1.7
 2021 JAN 20   17 34 20.5 38.3583 22.1022   10         1.6
 2021 JAN 20   19 35 04.5 38.3684 22.1196   12         1.4
 2021 JAN 20   20 35 40.5 36.1514 28.1131   69         3.9
 2021 JAN 20   20 35 40.8 36.5790 21.3519   14         2.4
 2021 JAN 20   20 41 07.3 36.6266 21.4948   11         1.8
 2021 JAN 20   20 53 12.9 36.6660 21.5689   22         3.1
 2021 JAN 20   20 57 49.3 38.3688 22.0926    8         1.3
 2021 JAN 20   21 31 20.7 36.1359 27.0721    7         1.9
 2021 JAN 20   22 21 11.5 38.4064 23.5345   13         1.1
 2021 JAN 20   22 57 24.5 38.3821 22.0290   11         2.2
 2021 JAN 20   22 59 51.3 38.3798 22.0743    8         1.7
 2021 JAN 20   23 14 43.9 38.3743 22.1072   10         0.9
 2021 JAN 20   23 24 33.2 38.4641 21.6678   20         1.1
 2021 JAN 20   23 28 21.9 37.8745 26.7343    9         3.6
 2021 JAN 20   23 31 26.3 37.8690 26.7361   10         2.8
 2021 JAN 20   23 33 52.1 37.8360 26.7398   12         3.2
 2021 JAN 20   23 37 56.8 37.8653 26.7471   10         4.4
 2021 JAN 21   00 00 54.8 37.8488 26.7325   13         2.5
 2021 JAN 21   00 30 24.6 39.7073 20.8200   13         2.5
 2021 JAN 21   00 34 08.6 38.3762 22.0889   11         1.1
 2021 JAN 21   00 51 29.7 38.3817 22.0523   11         1.1
 2021 JAN 21   00 56 26.6 38.2159 20.5133   14         2.2
 2021 JAN 21   00 59 20.1 35.1727 26.4240   12         1.2
 2021 JAN 21   01 01 59.8 37.7902 26.7416   16         2.6
 2021 JAN 21   01 22 36.2 38.8705 22.1677    6         1.5
 2021 JAN 21   01 27 54.5 38.6481 24.4830   12         1.3
 2021 JAN 21   01 38 21.6 36.3977 28.8025    5         3.2
 2021 JAN 21   01 45 03.3 37.8085 26.7215   13         2.7
 2021 JAN 21   02 18 31.1 37.1951 21.5689   10         2.0
 2021 JAN 21   02 52 30.5 38.3780 22.0633    9         1.0
 2021 JAN 21   02 56 23.4 37.8287 26.7252   11         3.4
 2021 JAN 21   03 00 11.3 38.3990 21.9928    6         1.2
 2021 JAN 21   03 22 44.0 36.7300 21.7575   24         2.2
 2021 JAN 21   04 00 56.4 37.7234 24.3713   44         1.3
 2021 JAN 21   04 15 51.3 37.8639 26.7439    8         2.2
 2021 JAN 21   04 47 02.7 38.3670 22.0779    8         1.8
 2021 JAN 21   04 52 27.3 35.3613 27.6855    6         2.6
 2021 JAN 21   05 57 04.7 38.3803 22.0317    7         1.3
 2021 JAN 21   06 00 19.4 38.3601 22.0876    8         0.4
 2021 JAN 21   06 00 45.8 38.3839 22.0894   10         1.5
 2021 JAN 21   06 01 50.6 38.3748 22.0290    6         0.1
 2021 JAN 21   06 03 32.2 38.3995 22.1379   11         0.6
 2021 JAN 21   06 03 43.6 38.4050 21.9933    7         0.9
 2021 JAN 21   06 51 42.2 38.3766 22.0811    7         3.2
 2021 JAN 21   06 59 36.8 38.3775 22.1031   10         1.7
 2021 JAN 21   07 00 29.7 39.0372 22.2958   72         2.6
 2021 JAN 21   07 02 21.2 37.8090 21.1061   20         1.9
 2021 JAN 21   07 31 15.5 38.3592 22.1004   10         1.7
 2021 JAN 21   07 45 38.0 38.3977 22.0180    4         1.7
 2021 JAN 21   08 01 58.0 37.5009 20.5637   14         2.8
 2021 JAN 21   08 12 19.1 35.1302 23.6577   28         1.5
 2021 JAN 21   08 25 55.1 38.3748 22.1068    9         1.5
 2021 JAN 21   10 27 29.7 38.1725 23.5176    7         1.4
 2021 JAN 21   10 36 33.0 38.4059 22.0482   11         0.7
 2021 JAN 21   10 36 47.1 38.4087 22.0308    8         0.2
 2021 JAN 21   10 37 07.8 38.3693 22.0537   14         0.4
 2021 JAN 21   10 37 21.5 38.3798 22.0285    5         0.2
 2021 JAN 21   10 38 10.9 38.1422 23.4837   10         1.5
 2021 JAN 21   11 19 07.4 38.6870 24.0056   14         2.1
 2021 JAN 21   11 30 00.0 37.2244 20.5252    9         2.2
 2021 JAN 21   11 38 38.0 38.3780 20.4208   13         2.0
 2021 JAN 21   11 43 50.0 35.3018 23.0466   29         2.6
 2021 JAN 21   11 56 32.8 37.8172 22.8813   14         1.3
 2021 JAN 21   12 28 36.0 36.7831 28.1662   51         3.9
 2021 JAN 21   14 21 15.7 38.3675 22.0921    9         3.1
 2021 JAN 21   14 58 11.3 38.1020 23.5652   16         1.8
 2021 JAN 21   14 59 33.7 38.0910 23.5652   15         1.0
 2021 JAN 21   15 08 07.7 38.3629 22.0976   10         1.3
 2021 JAN 21   15 09 13.8 38.0891 23.5670   14         1.9
 2021 JAN 21   15 13 18.0 38.0832 23.5593   14         2.0
 2021 JAN 21   15 34 30.2 38.0965 23.5716   15         1.9
 2021 JAN 21   15 35 40.4 38.0946 23.5716   12         1.5
 2021 JAN 21   15 49 32.4 38.3796 22.0660    5         1.6
 2021 JAN 21   15 57 13.4 38.0873 23.5753   11         1.2
 2021 JAN 21   16 01 00.2 38.3940 22.0418    9         1.2
 2021 JAN 21   16 08 31.4 38.0978 23.5629   16         1.3
 2021 JAN 21   16 08 51.8 38.0946 23.5570   15         1.7
 2021 JAN 21   16 36 36.1 37.5426 23.3720   12         1.8
 2021 JAN 21   16 38 02.6 38.3707 22.0816    8         0.7
 2021 JAN 21   16 59 26.2 34.7232 24.5535   28         2.5
 2021 JAN 21   17 17 18.0 38.0978 23.5721   15         2.1
 2021 JAN 21   17 35 42.4 34.7424 24.9353    6         3.3
 2021 JAN 21   17 39 35.0 38.3807 22.0624    7         1.1
 2021 JAN 21   17 43 40.6 36.3968 21.8198    6         2.5
 2021 JAN 21   17 50 04.2 36.9388 21.1624   26         2.2
 2021 JAN 21   18 10 16.5 37.8749 26.7604   13         2.7
 2021 JAN 21   18 22 38.9 38.3684 22.1004    9         1.8
 2021 JAN 21   18 42 53.2 34.5971 25.8984    5         2.5
 2021 JAN 21   18 44 50.5 37.5082 20.5820   13         2.2
 2021 JAN 21   19 08 23.5 37.5018 23.1097    6         1.7
 2021 JAN 21   19 14 20.8 38.2823 23.7758   14         1.8
 2021 JAN 21   19 41 04.3 38.2530 23.7703   19         1.2
 2021 JAN 21   19 46 21.9 38.2851 24.3315   13         2.6
 2021 JAN 21   19 56 57.7 35.0345 24.9673   31         1.7
 2021 JAN 21   20 29 08.6 34.6152 25.0479   28         2.1
 2021 JAN 21   20 34 40.9 37.7335 23.1180   26         1.2
 2021 JAN 21   20 57 54.5 38.2823 22.1306   10         1.1
 2021 JAN 21   21 01 39.5 38.2672 23.7616   13         1.0
 2021 JAN 21   22 20 14.3 34.5767 25.0150   24         2.7
 2021 JAN 21   22 32 42.5 39.9380 24.3082   21         1.9
 2021 JAN 21   22 35 30.3 37.6968 22.7078   65         1.7
 2021 JAN 21   22 52 11.3 37.7243 23.1381   17         1.3
 2021 JAN 21   23 09 04.5 35.3265 23.1537   20         1.8
 2021 JAN 21   23 17 02.6 38.3739 22.0518    6         0.8
 2021 JAN 21   23 23 55.0 38.3574 22.0738    7         1.0
 2021 JAN 21   23 30 42.3 38.3720 22.0830    9         1.1
 2021 JAN 21   23 34 58.4 37.8461 26.7572    8         0.9
 2021 JAN 21   23 48 39.4 37.8891 26.9577   10         3.1
 2021 JAN 22   00 15 15.2 38.4489 23.1487   18         2.5
 2021 JAN 22   00 28 02.8 37.7408 21.9809   16         1.7
 2021 JAN 22   00 58 51.6 35.6461 26.3242   18         3.2
 2021 JAN 22   01 05 12.9 38.4421 23.1290   16         1.4
 2021 JAN 22   01 13 41.0 34.2160 26.0294    5         2.7
 2021 JAN 22   01 18 17.5 38.4018 22.0413   10         1.2
 2021 JAN 22   01 18 17.8 38.4018 22.0212    9         1.2
 2021 JAN 22   01 32 37.7 38.0392 22.0908   52         1.9
 2021 JAN 22   01 44 21.1 38.3945 22.0230    8         1.0
 2021 JAN 22   01 46 44.7 36.5913 23.1349   21         3.5
 2021 JAN 22   03 06 40.3 38.8760 23.9767   10         1.6
 2021 JAN 22   03 27 17.2 34.3597 26.1127   13         2.3
 2021 JAN 22   03 28 54.5 37.8534 26.7389    6         2.2
 2021 JAN 22   04 13 14.5 38.3926 22.0871    6         0.9
 2021 JAN 22   05 39 41.9 37.8424 26.7096    4         2.3
 2021 JAN 22   05 54 43.8 37.5119 21.9992   12         2.6
 2021 JAN 22   06 57 27.4 35.6387 26.4871   27         4.5
 2021 JAN 22   08 04 23.8 38.3711 22.0848   10         1.5
 2021 JAN 22   08 51 06.6 36.2238 27.5519   28         2.4
 2021 JAN 22   08 55 14.9 38.5020 21.8523   15         2.0
 2021 JAN 22   09 02 12.5 38.3675 22.0967    9         0.8
 2021 JAN 22   10 37 17.4 38.2681 22.2189   60         2.1
 2021 JAN 22   11 50 47.8 38.3684 22.0775   11         1.8
 2021 JAN 22   13 10 32.4 36.9626 21.6586   13         2.2
 2021 JAN 22   13 17 07.5 38.0626 23.6586    6         1.0
 2021 JAN 22   13 32 36.7 38.3574 22.1214   11         1.6
 2021 JAN 22   14 24 41.6 34.8354 24.4432   29         2.5
 2021 JAN 22   14 51 20.5 38.3926 22.0322    7         1.2
 2021 JAN 22   15 50 39.7 34.7717 24.3420   25         2.6
 2021 JAN 22   15 50 53.6 35.6461 26.4725   24         2.9
 2021 JAN 22   16 36 14.4 38.3968 21.9923    6         1.1
 2021 JAN 22   16 45 44.1 38.3922 22.0161    8         1.1
 2021 JAN 22   16 58 09.1 38.3977 22.0418   12         2.0
 2021 JAN 22   17 27 54.2 38.3812 22.0207    8         1.4
 2021 JAN 22   17 29 49.6 34.7946 25.5386   11         2.9
 2021 JAN 22   17 40 29.6 38.5721 23.6819   12         2.7
 2021 JAN 22   17 45 47.5 38.5698 23.7016   16         1.8
 2021 JAN 22   18 41 58.8 39.7733 26.7746   14         3.2
 2021 JAN 22   18 47 02.5 36.1139 27.6068   28         2.4
 2021 JAN 22   19 10 38.0 38.3899 22.0276    6         0.8
 2021 JAN 22   19 35 26.9 34.1629 25.6155    3         1.9
 2021 JAN 22   19 38 59.0 38.4105 21.9814    6         2.1
 2021 JAN 22   19 43 32.0 37.8429 26.7201    3         2.3
 2021 JAN 22   19 45 36.8 38.4023 21.9804    5         0.5
 2021 JAN 22   20 18 15.6 38.5735 23.6916   15         1.7
 2021 JAN 22   20 37 18.2 38.3638 22.1077    8         1.5
 2021 JAN 22   20 38 19.0 38.3931 22.0390    7         0.4
 2021 JAN 22   20 45 06.1 37.6396 22.0354   11         2.4
 2021 JAN 22   23 07 23.0 37.1512 20.3604    5         2.4
 2021 JAN 22   23 47 27.9 38.3794 22.0244    9         1.8
 2021 JAN 23   00 10 38.8 38.3954 22.0697    9         1.1
 2021 JAN 23   00 17 04.8 38.3812 22.0427    8         1.0
 2021 JAN 23   02 00 44.7 35.6241 27.5052   11         2.5
 2021 JAN 23   02 17 28.2 38.3372 22.0564   11         1.0
 2021 JAN 23   02 26 23.8 34.4440 25.5927   20         2.2
 2021 JAN 23   02 53 44.1 38.3794 22.0125   12         1.1
 2021 JAN 23   03 24 39.4 39.6574 21.7964   18         2.0
 2021 JAN 23   04 33 53.8 35.7861 27.3193   18         3.0
 2021 JAN 23   05 24 55.1 38.3583 22.1361   11         0.9
 2021 JAN 23   06 00 24.2 37.8484 22.3604   13         2.4
 2021 JAN 23   07 56 51.1 38.3711 22.1150    8         1.6
 2021 JAN 23   08 00 11.6 36.2265 23.5757   35         2.2
 2021 JAN 23   08 13 38.3 39.0866 23.5117   10         2.6
 2021 JAN 23   08 25 15.8 38.5638 23.7067   11         2.8
 2021 JAN 23   08 40 13.8 38.5703 23.6819   17         2.2
 2021 JAN 23   09 09 28.9 37.4698 20.7523   16         2.7
 2021 JAN 23   09 11 31.7 38.5716 23.7025   11         2.6
 2021 JAN 23   10 01 11.6 38.5693 23.7158    9         2.1
 2021 JAN 23   10 01 51.4 36.4243 21.2869    6         3.0
 2021 JAN 23   10 07 05.7 38.5684 23.7039   13         3.1
 2021 JAN 23   10 24 54.3 38.5666 23.6948   13         2.4
 2021 JAN 23   10 27 08.2 38.3867 22.0464   12         1.7
 2021 JAN 23   10 29 16.8 38.5597 23.7044   14         2.2
 2021 JAN 23   10 39 45.4 38.3675 22.0894    6         1.6
 2021 JAN 23   10 45 17.4 38.3913 22.0537   10         2.0
 2021 JAN 23   10 50 26.8 38.3757 22.0885    8         1.7
 2021 JAN 23   10 55 06.8 38.3702 22.0903    8         2.1
 2021 JAN 23   10 59 54.3 36.3849 28.3868   60         3.0
 2021 JAN 23   11 01 44.7 38.5739 23.6746   15         2.0
 2021 JAN 23   11 32 36.3 38.5725 23.7053   15         2.9
 2021 JAN 23   11 42 57.9 38.5771 23.6971   17         2.3
 2021 JAN 23   11 47 06.4 38.5661 23.6916   17         2.1
 2021 JAN 23   12 42 51.2 36.9997 22.7834   18         2.9
 2021 JAN 23   13 46 15.9 37.7879 21.1473   17         2.1
 2021 JAN 23   14 09 53.9 37.9697 22.6529   13         1.3
 2021 JAN 23   14 46 57.3 38.4993 21.5327   16         2.4
