      DATE         TIME     LAT.   LONG.  DEPTH    MAGNITUDE            
                   (GMT)    (N)    (E)    (km)       (Local)
 2021 JAN  1   21 04 22.7 34.3835 26.1292   11         2.1
 2021 JAN  1   21 13 48.6 38.4059 21.9896    9         1.0
 2021 JAN  1   21 15 08.6 38.3047 23.4293    9         1.1
 2021 JAN  1   21 15 09.9 35.6644 26.1575   28         1.6
 2021 JAN  1   21 21 48.0 38.3858 22.0235    7         0.6
 2021 JAN  1   21 22 12.7 38.3867 22.0445   12         0.8
 2021 JAN  1   21 48 09.8 38.3849 22.0711   12         0.4
 2021 JAN  1   21 50 57.8 38.3849 22.0235    9         0.7
 2021 JAN  1   22 00 03.1 38.3867 22.0390    9         2.3
 2021 JAN  1   22 08 58.5 38.2443 25.7309   16         1.8
 2021 JAN  1   22 14 58.9 37.6053 25.8609   17         2.1
 2021 JAN  1   22 29 51.4 38.4123 22.0372   12         0.5
 2021 JAN  1   22 38 46.7 35.5527 24.6341   33         1.8
 2021 JAN  1   23 32 11.1 38.3922 21.9914    6         0.8
 2021 JAN  1   23 33 12.1 38.3739 22.0473    9         0.8
 2021 JAN  1   23 41 42.3 38.3281 22.1233   11         1.0
 2021 JAN  2   00 04 54.7 38.3775 22.0427    7         0.8
 2021 JAN  2   00 09 40.3 38.4013 22.0024    8         1.1
 2021 JAN  2   00 17 38.2 34.8917 26.2820    6         2.3
 2021 JAN  2   01 04 22.0 38.3917 22.0148    7         0.8
 2021 JAN  2   01 10 37.6 39.5471 25.9900   14         1.4
 2021 JAN  2   01 17 49.5 37.5485 21.4883   41         2.2
 2021 JAN  2   01 31 29.2 38.4160 21.9841    8         1.0
 2021 JAN  2   01 40 01.1 38.2796 21.4687   33         1.3
 2021 JAN  2   01 43 11.4 36.0928 27.3056   12         2.4
 2021 JAN  2   01 49 25.1 37.5320 20.6552   17         3.1
 2021 JAN  2   02 14 21.3 36.1047 27.3230   11         2.4
 2021 JAN  2   02 25 24.3 37.8864 26.6034   18         3.7
 2021 JAN  2   03 33 30.2 38.4242 20.4716   18         2.2
 2021 JAN  2   03 40 02.7 38.3720 22.0271    9         1.3
 2021 JAN  2   03 42 02.6 38.3890 22.0523    7         0.7
 2021 JAN  2   03 53 48.8 36.3959 21.3666   35         2.3
 2021 JAN  2   03 55 55.3 38.3931 22.0390    9         1.1
 2021 JAN  2   04 19 32.9 36.4078 21.5854   20         2.1
 2021 JAN  2   04 23 28.2 38.5213 21.6151   18         1.1
 2021 JAN  2   04 23 39.1 38.9767 27.9099   10         2.9
 2021 JAN  2   05 58 09.4 38.3899 22.0203   12         1.1
 2021 JAN  2   06 05 45.0 38.3794 22.0024    7         0.3
 2021 JAN  2   06 06 46.4 38.3977 22.0143    8         0.4
 2021 JAN  2   06 33 32.0 37.7536 26.8661   15         2.8
 2021 JAN  2   06 43 42.3 38.2210 21.8477   18         1.1
 2021 JAN  2   08 22 16.0 38.3839 22.0290    6         0.6
 2021 JAN  2   08 45 02.2 38.3917 21.9818    7         1.1
 2021 JAN  2   08 45 26.4 35.7944 25.7620   17         2.1
 2021 JAN  2   09 23 14.1 38.3949 22.0500    9         1.8
 2021 JAN  2   10 43 18.4 38.3940 22.0518    9         1.1
 2021 JAN  2   14 09 30.0 35.8511 23.5117   10         2.0
 2021 JAN  2   14 16 28.5 38.4750 25.4507   23         2.2
 2021 JAN  2   15 21 31.8 34.5905 24.8602   32         1.9
 2021 JAN  2   15 40 32.9 38.7845 23.5410   17         1.6
 2021 JAN  2   16 01 49.0 37.8470 26.4120   12         3.0
 2021 JAN  2   16 11 33.1 35.3270 24.2006   18         1.7
 2021 JAN  2   16 26 44.5 37.9875 21.5282   29         1.8
 2021 JAN  2   16 52 12.2 38.3867 22.0308    7         2.3
 2021 JAN  2   16 53 50.0 38.3995 22.0473   10         2.0
 2021 JAN  2   17 01 14.2 38.3986 22.0390    9         2.1
 2021 JAN  2   17 14 47.8 38.4013 22.0271    8         0.5
 2021 JAN  2   17 22 35.9 35.4620 22.9523   14         2.2
 2021 JAN  2   17 31 05.4 36.0709 27.5656    6         2.5
 2021 JAN  2   17 36 27.2 38.3977 22.0399    7         1.9
 2021 JAN  2   17 43 11.4 37.8598 26.8771   14         2.8
 2021 JAN  2   17 47 59.2 36.0178 23.5062    2         2.2
 2021 JAN  2   17 56 24.7 38.2246 24.1649   19         1.3
 2021 JAN  2   18 10 34.6 38.3908 22.0029    7         1.0
 2021 JAN  2   18 24 43.9 35.3934 26.0751   20         2.2
 2021 JAN  2   18 45 06.7 37.7023 23.4329    9         1.3
 2021 JAN  2   19 06 15.8 38.3968 22.0500    9         1.4
 2021 JAN  2   19 15 20.6 37.6016 23.7076   15         1.7
 2021 JAN  2   19 36 52.7 38.4091 22.0285    9         1.3
 2021 JAN  2   19 45 51.7 37.5760 23.5886   24         1.5
 2021 JAN  2   20 16 34.7 37.7568 23.5103   17         1.3
 2021 JAN  2   20 25 53.0 39.1063 21.6966   12         2.5
 2021 JAN  2   20 36 53.1 38.3762 21.9974    6         2.0
 2021 JAN  2   20 59 04.9 37.8328 23.5121   27         1.2
 2021 JAN  2   21 05 14.7 34.8624 25.1376   17         1.7
 2021 JAN  2   22 10 05.2 38.4050 22.0409   10         2.0
 2021 JAN  2   22 27 59.1 38.4000 22.0486    9         1.6
 2021 JAN  2   22 28 15.7 38.4059 22.0482    9         1.5
 2021 JAN  2   23 00 52.8 37.7298 22.8159    9         1.3
 2021 JAN  2   23 30 20.3 36.0631 25.0648   12         3.0
 2021 JAN  2   23 50 23.8 36.0745 25.0589   15         1.8
 2021 JAN  3   00 24 10.4 35.1334 27.0712    6         2.0
 2021 JAN  3   01 11 17.7 38.3835 22.0248    9         1.1
 2021 JAN  3   01 41 52.6 35.2066 26.2619   24         2.1
 2021 JAN  3   02 09 23.2 38.3784 22.0107    8         1.5
 2021 JAN  3   02 57 32.7 34.8404 23.8669   44         1.8
 2021 JAN  3   04 54 01.8 38.3963 21.9864    6         0.9
 2021 JAN  3   05 00 45.5 38.4306 21.9420    8         1.2
 2021 JAN  3   05 02 31.4 38.4050 22.0299    8         0.9
 2021 JAN  3   06 24 58.5 38.6838 22.8580    7         1.5
 2021 JAN  3   07 34 44.1 38.3867 22.0033    8         0.7
 2021 JAN  3   09 15 22.8 38.9561 23.1688   12         3.3
 2021 JAN  3   10 09 54.8 39.7549 24.1855   22         2.5
 2021 JAN  3   10 35 58.0 34.3176 25.5725   14         2.5
 2021 JAN  3   11 12 40.7 37.8818 26.4029    8         2.9
 2021 JAN  3   12 58 11.8 39.2816 20.5682   16         2.0
 2021 JAN  3   13 13 04.6 38.4796 25.4938   20         3.2
 2021 JAN  3   13 21 12.5 37.5650 20.6735   16         2.2
 2021 JAN  3   13 27 55.6 38.3839 22.0253    7         2.0
 2021 JAN  3   13 27 55.9 35.7619 25.6819   12         2.0
 2021 JAN  3   13 40 41.4 38.3958 21.9722    6         1.1
 2021 JAN  3   13 41 13.9 38.4023 21.9914    6         0.2
 2021 JAN  3   14 04 46.9 38.3766 22.0290    8         1.1
 2021 JAN  3   14 17 56.7 38.3876 22.0116    6         0.5
 2021 JAN  3   14 35 46.6 34.6664 23.9401   21         2.1
 2021 JAN  3   14 38 34.4 38.4682 21.8111   14         1.2
 2021 JAN  3   14 42 29.3 34.1034 25.8014    7         2.6
 2021 JAN  3   15 16 23.3 37.8635 26.4084   12         3.1
 2021 JAN  3   15 33 07.6 37.0578 20.7156    6         2.3
 2021 JAN  3   15 37 37.9 38.3835 21.9992    6         1.4
 2021 JAN  3   16 11 35.9 40.0850 22.7275   11         3.0
 2021 JAN  3   16 15 40.9 37.3357 22.2441   10         2.1
 2021 JAN  3   16 37 57.3 39.9188 24.0363   17         1.9
 2021 JAN  3   17 15 28.8 37.8488 26.8607   14         2.9
 2021 JAN  3   18 09 20.2 38.3894 21.9978    8         1.9
